speno_yr,age_class,sex,data_source,daily_prop_ho,peak_ho_hr,doy,year,lat,lon,daylength,iceconc,air2m,rolling_temp,atdd,CM_index,EM_index
PH2005_5997_2005,Adult,Female,NOAA,52.83333333,0.143771497,122,2005,70.83401365,-158.3344593,19.40236901,0.999999978,-3.384222412,-5.3361877,0,-15,-15
PH2005_5997_2005,Adult,Female,NOAA,8.75,0.030761428,123,2005,70.83401365,-158.3344593,19.62632026,0.999999978,-3.325720215,-4.5919861,0,-14,-14
PH2005_5997_2005,Adult,Female,NOAA,49.5,2.323033234,124,2005,70.83401365,-158.3344593,19.85824409,0.999999978,-7.530279541,-4.0827393,0,-13,-13
PH2005_5997_2005,Adult,Female,NOAA,0,NA,125,2005,70.83401365,-158.3344593,20.09954294,0.999999978,-7.931402588,-3.4632324,0,-12,-12
PH2005_5997_2005,Adult,Female,NOAA,59.58333333,-2.729040452,126,2005,70.83401365,-158.3344593,20.35205425,0.999999978,-8.337530518,-4.7258667,0,-11,-11
PH2005_5997_2005,Adult,Female,NOAA,22.08333333,-0.271616865,127,2005,70.83401365,-158.3344593,20.61826286,0.959999979,-4.97901001,-3.2454285,0,-10,-10
PH2005_5997_2005,Adult,Female,NOAA,32.91666667,1.252128294,128,2005,70.83401365,-158.3344593,20.90166738,0.849999981,-5.328375244,-4.2724976,0,-9,-9
PH2005_5997_2005,Adult,Female,NOAA,63.33333333,2.96109652,129,2005,70.83401365,-158.3344593,21.20746325,0.87999998,-4.537298584,-5.0495972,0,-8,-8
PH2005_5997_2005,Adult,Female,NOAA,94.58333333,-2.701987848,130,2005,70.83401365,-158.3344593,21.54395808,0.88999998,-4.223364258,-3.3352417,0,-7,-7
PH2005_5997_2005,Adult,Female,NOAA,53.29166667,-0.973675556,131,2005,70.83401365,-158.3344593,21.92598896,0.88999998,-4.088232422,-4.2605652,0,-6,-6
PH2005_5997_2005,Adult,Female,NOAA,35.125,0.71973015,132,2005,70.83401365,-158.3344593,22.38549532,0.859999981,-6.108679199,-3.1449646,0,-5,-5
PH2005_5997_2005,Adult,Female,NOAA,67.5,-0.167842496,133,2005,70.83401365,-158.3344593,23.02650886,0.869999981,-4.386053467,-0.7264465,0,-4,-4
PH2005_5997_2005,Adult,Female,NOAA,35.41666667,-0.005963208,134,2005,70.83401365,-158.3344593,24,0.939999979,-3.139685059,-0.8642029,0,-3,-3
PH2005_5997_2005,Adult,Female,NOAA,64.16666667,2.251111125,135,2005,70.83401365,-158.3344593,24,0.949999979,-4.205847168,-1.2696289,0,-2,-2
PH2005_5997_2005,Adult,Female,NOAA,38.25,-0.962330916,136,2005,70.83401365,-158.3344593,24,0.999999978,-4.218054199,-2.0565552,0,-1,-1
PH2005_5997_2005,Adult,Female,NOAA,50.83333333,0.696749982,137,2005,70.83100104,-158.2554943,24,0.949999979,-4.276190186,-2.7424683,0,0,0
PH2005_5997_2005,Adult,Female,NOAA,34.58333333,1.334231491,138,2005,70.83100104,-158.2554943,24,0.89999998,-2.5199646,-2.3255066,0,1,1
PH2005_5997_2005,Adult,Female,NOAA,91.25,-2.612830612,139,2005,70.83100104,-158.2554943,24,0.789999982,-1.523321533,-2.1825317,0,2,2
PH2005_5997_2005,Adult,Female,NOAA,12.625,0.587957792,140,2005,70.83100104,-158.2554943,24,0.789999982,-1.293890381,0.1385742,0,3,3
PH2005_5997_2005,Adult,Female,NOAA,63.25,-0.124500153,141,2005,70.83100104,-158.2554943,24,0.769999983,-1.816503906,-1.0142578,0,4,4
PH2005_5997_2005,Adult,Female,NOAA,62.41666667,-0.717039434,142,2005,70.83100104,-158.2554943,24,0.88999998,-2.236242676,-0.4916443,0,5,5
PH2005_5997_2005,Adult,Female,NOAA,62.08333333,-0.111846516,143,2005,70.83100104,-158.2554943,24,0.779999983,-2.476843262,-0.2028564,0,6,6
PH2005_5997_2005,Adult,Female,NOAA,53.33333333,-0.156716022,144,2005,70.83100104,-158.2554943,24,0.709999984,-2.294256592,0.1015869,0,7,7
PH2005_5997_2005,Adult,Female,NOAA,52.125,0.0524326,145,2005,70.8201253,-158.2444973,24,0.699999984,-2.299719238,-0.645575,0,8,8
PH2005_5997_2005,Adult,Female,NOAA,59.20833333,0.011126474,146,2005,70.8201253,-158.2444973,24,0.699999984,-1.712988281,-0.962439,0,9,9
PH2005_5997_2005,Adult,Female,NOAA,58.75,0.183041405,147,2005,70.8201253,-158.2444973,24,0.759999983,-1.537695312,-1.30802,0,10,10
PH2005_5997_2005,Adult,Female,NOAA,63.375,-0.379609112,148,2005,70.8201253,-158.2444973,24,0.649999985,-0.749456787,-1.5135254,1,11,11
PH2005_5997_2005,Adult,Female,NOAA,63.79166667,0.150825536,149,2005,70.81325737,-158.2826076,24,0.739999983,-0.476293945,-0.8351501,2,12,12
PH2005_5997_2005,Adult,Female,NOAA,49.70833333,-0.005017822,150,2005,70.81325737,-158.2826076,24,0.629999986,0.023461914,-0.8356384,2,13,13
PH2005_5997_2005,Adult,Female,NOAA,51.66666667,0.248854863,151,2005,70.81325737,-158.2826076,24,0.709999984,-1.036199951,-1.0572266,2,14,14
PH2005_5997_2005,Adult,Female,NOAA,65.41666667,-0.163261007,152,2005,70.81325737,-158.2826076,24,0.689999985,-1.392126465,-1.5688843,2,15,15
PH2005_5997_2005,Adult,Female,NOAA,75,0.458294373,153,2005,70.81325737,-158.2826076,24,0.789999982,-1.72208252,-0.7680115,2,16,16
PH2005_5997_2005,Adult,Female,NOAA,51.58333333,0.300269353,154,2005,70.81325737,-158.2826076,24,0.709999984,-0.544775391,-1.4916443,2,17,17
PH2005_5997_2005,Adult,Female,NOAA,65.83333333,0.065377125,155,2005,70.81325737,-158.2826076,24,0.749999983,-1.022650146,-0.8797363,2,18,18
PH2005_5997_2005,Adult,Female,NOAA,79.16666667,0.403752834,156,2005,70.82293765,-158.2655615,24,0.709999984,-1.077825928,-1.1132874,2,19,19
PH2005_5997_2005,Adult,Female,NOAA,58.33333333,0.560323412,157,2005,70.82293765,-158.2655615,24,0.649999985,-1.143164062,-1.040564,2,20,20
